date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:13	56008/56008	---M-Z	200	added ('OK')	text/html	etag:%22fae1e31903b928f9f5e318f2d5486d67-ssl-df%22	https://bnker.netlify.app/ltr/index.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/index.html	(from )
22:13:14	1439/1439	---M-Z	404	error ('Not%20Found')	text/html	etag:1606651088-ssl-df	https://bnker.netlify.app/robots.txt		(from )
22:13:15	3303/3303	---M--	200	added ('OK')	image/png	etag:%22d28eb263c4e50c756ca9a84048664619-ssl%22	https://bnker.netlify.app/ltr/images/favicon.png	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/images/favicon.png	(from https://bnker.netlify.app/ltr/index.html)
22:13:15	735371/735371	---M-Z	200	added ('OK')	text/css	etag:%22ee45fd9e4e6146e4b93dc2c67248a9df-ssl-df%22	https://bnker.netlify.app/ltr/css/vendors.css	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/css/vendors.css	(from https://bnker.netlify.app/ltr/index.html)
22:13:16	129186/129186	---M-Z	200	added ('OK')	text/css	etag:%22967f66c773b6a1f6f300c54ec151dc26-ssl-df%22	https://bnker.netlify.app/ltr/css/plugins.css	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/css/plugins.css	(from https://bnker.netlify.app/ltr/index.html)
22:13:17	255928/255928	---M-Z	200	added ('OK')	text/css	etag:%224ce80bfc1b4cbb70c064b4006538c1ad-ssl-df%22	https://bnker.netlify.app/ltr/css/icons.css	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/css/icons.css	(from https://bnker.netlify.app/ltr/index.html)
22:13:18	136552/136552	---M-Z	200	added ('OK')	text/css	etag:%228dff99311995cf3731198d7b3c11700a-ssl-df%22	https://bnker.netlify.app/ltr/css/style.css	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/css/style.css	(from https://bnker.netlify.app/ltr/index.html)
22:13:18	4230/4230	---M--	200	added ('OK')	image/png	etag:%225db32c129697d36cfd77cd3776cc4540-ssl%22	https://bnker.netlify.app/ltr/images/logo.png	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/images/logo.png	(from https://bnker.netlify.app/ltr/index.html)
22:13:19	72954/72954	---M-Z	200	added ('OK')	text/html	etag:%22832afbcd59c403f8ed958d3906d7afc0-ssl-df%22	https://bnker.netlify.app/ltr/index-2.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/index-2.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:19	48095/48095	---M-Z	200	added ('OK')	text/html	etag:%222dcb17a39b8ac8005e648e09600ef459-ssl-df%22	https://bnker.netlify.app/ltr/index-3.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/index-3.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:20	57435/57435	---M-Z	200	added ('OK')	text/html	etag:%22ab75e8fa30a2b7b3efe44b31cfba5711-ssl-df%22	https://bnker.netlify.app/ltr/about-us-1.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/about-us-1.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:20	57412/57412	---M-Z	200	added ('OK')	text/html	etag:%2295f4ab94aa38a3e448c260319605cc99-ssl-df%22	https://bnker.netlify.app/ltr/about-us-2.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/about-us-2.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:21	28917/28917	---M-Z	200	added ('OK')	text/html	etag:%225e3acf31f5cf7cc281f438ad5a9516a9-ssl-df%22	https://bnker.netlify.app/ltr/portfolio.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/portfolio.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:22	28249/28249	---M-Z	200	added ('OK')	text/html	etag:%228558fcc59440e16d2e0e024fb48c5e27-ssl-df%22	https://bnker.netlify.app/ltr/portfolio-detail.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/portfolio-detail.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:23	46323/46323	---M-Z	200	added ('OK')	text/html	etag:%22e496992cf1df051c875a7f0d9592a61b-ssl-df%22	https://bnker.netlify.app/ltr/faq.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/faq.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:23	20723/20723	---M-Z	200	added ('OK')	text/html	etag:%2264796da4e69fc539256dc7e3ed7230c6-ssl-df%22	https://bnker.netlify.app/ltr/team.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/team.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:24	24917/24917	---M-Z	200	added ('OK')	text/html	etag:%229d5406bbf0e048b2e15457a8467aaf82-ssl-df%22	https://bnker.netlify.app/ltr/contact.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/contact.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:25	3158/3158	---M-Z	200	added ('OK')	text/html	etag:%22ea6063a8e250298eacae1130fe62c40e-ssl-df%22	https://bnker.netlify.app/ltr/login.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/login.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:25	3305/3305	---M-Z	200	added ('OK')	text/html	etag:%22fffa199d0d6d3be2e6c7673fed912598-ssl-df%22	https://bnker.netlify.app/ltr/signup.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/signup.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:26	2498/2498	---M-Z	200	added ('OK')	text/html	etag:%22a8afacf055e5352f6b99e8b50a6994ed-ssl-df%22	https://bnker.netlify.app/ltr/recover.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/recover.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:27	24088/24088	---M-Z	200	added ('OK')	text/html	etag:%223fee562817c34e1a62a1c7d9367c9ee5-ssl-df%22	https://bnker.netlify.app/ltr/pricing.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/pricing.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:28	2308/2308	---M-Z	200	added ('OK')	text/html	etag:%221386eafb7a60dd24ff3268248936ffb8-ssl-df%22	https://bnker.netlify.app/ltr/404.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/404.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:29	2321/2321	---M-Z	200	added ('OK')	text/html	etag:%22cf5235ecd4f8c98d558b37c81b212af6-ssl-df%22	https://bnker.netlify.app/ltr/coming-soon.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/coming-soon.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:30	20831/20831	---M-Z	200	added ('OK')	text/html	etag:%22c55dc2d762e562d32fffa30054a4e612-ssl-df%22	https://bnker.netlify.app/ltr/loan-calculation.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/loan-calculation.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:30	27105/27105	---M-Z	200	added ('OK')	text/html	etag:%22a978970e1b02b8a2b971cfb866418bec-ssl-df%22	https://bnker.netlify.app/ltr/loans.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/loans.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:31	30420/30420	---M-Z	200	added ('OK')	text/html	etag:%2240f537df297d9ce74534d43c34c8ff05-ssl-df%22	https://bnker.netlify.app/ltr/open-account.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/open-account.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:32	19211/19211	---M-Z	200	added ('OK')	text/html	etag:%227bcedde0e264406872c613486d3b5cfe-ssl-df%22	https://bnker.netlify.app/ltr/privacy-policy.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/privacy-policy.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:32	41960/41960	---M-Z	200	added ('OK')	text/html	etag:%229a0ac5b93d1005ce6771c2ade837ed9e-ssl-df%22	https://bnker.netlify.app/ltr/testimonials.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/testimonials.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:33	31114/31114	---M-Z	200	added ('OK')	text/html	etag:%223cdfb78d3ea0165e971bf447f69f2f34-ssl-df%22	https://bnker.netlify.app/ltr/blog.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/blog.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:34	29298/29298	---M-Z	200	added ('OK')	text/html	etag:%22fb3b0168d39df958015b589969ec7cc0-ssl-df%22	https://bnker.netlify.app/ltr/blog-grid.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/blog-grid.html	(from https://bnker.netlify.app/ltr/index.html)
22:13:34	43193/43193	---M-Z	200	added ('OK')	text/html	etag:%22214eb94a5f26c4403eecb0708e87842e-ssl-df%22	https://bnker.netlify.app/ltr/blog-single-sidebar.html	C:/Users/saita/Desktop/SBISUHC/SBISUHC/bnker.netlify.app/ltr/blog-single-sidebar.html	(from https://bnker.netlify.app/ltr/index.html)
